city_id,city_name,state,lat,lon
1821,HAWAIIAN GARDEN,CA,33.83,-118.07
1822,STAFFORD SPRING,CT,41.95,-72.3
1823,WALLINGFORD,CT,41.44,-72.81
1824,ENGLEWOOD,FL,26.95,-82.35
1825,ELBERTON,GA,34.1,-82.86
1826,LAVONIA,GA,34.43,-83.1
1827,COMMERCE,GA,34.2,-83.46
1828,CHATSWORTH,GA,34.77,-84.77
1829,BAXLEY,GA,31.76,-82.35
1830,SANDERSVILLE,GA,32.98,-82.81
1831,SWAINSBORO,GA,32.59,-82.33
1832,MILLEDGEVILLE,GA,33.08,-83.23
1833,PERRY,GA,32.46,-83.73
1834,EWA BEACH,HI,21.31,-158.01
1835,NAMPA,ID,43.49,-116.61
1836,BETTENDORF,IA,41.56,-90.47
1837,OTTAWA,KS,38.6,-95.26
1838,SHELBYVILLE,KY,38.21,-85.23
1839,LEBANON,KY,37.56,-85.25
1840,BARDSTOWN,KY,37.81,-85.46
1841,MANCHESTER,KY,37.15,-83.76
1842,RICHMOND,KY,37.74,-84.29
1843,MOUNT STERLING,KY,38.06,-83.94
1844,CYNTHIANA,KY,38.38,-84.29
1845,CAMPBELLSVILLE,KY,37.34,-85.34
1846,WINCHESTER,KY,37.99,-84.18
1847,LA GRANGE,KY,38.4,-85.37
1848,SPRINGHILL,LA,33,-93.46
1849,WINNSBORO,LA,32.16,-91.72
1850,NEEDHAM,MA,42.28,-71.24
1851,HAVERHILL,MA,42.78,-71.08
1852,FREMONT,MI,43.46,-85.95
1853,SAULT SAINTE MA,MI,46.48,-84.36
1854,WAYNESBORO,MS,31.67,-88.64
1855,BAY SAINT LOUIS,MS,30.32,-89.51
1856,WARRENSBURG,MO,38.75,-93.72
1857,WARWICK,NY,41.25,-74.35
1858,DANSVILLE,NY,42.56,-77.69
1859,OXFORD,NC,36.31,-78.58
1860,MURPHY,NC,35.09,-84.02
1861,ATHENS,OH,39.32,-82.09
1862,MOUNT VERNON,OH,40.39,-82.47
1863,OXFORD,OH,39.5,-84.74
1864,ALLIANCE,OH,40.91,-81.11
1865,CIRCLEVILLE,OH,39.6,-82.93
1866,WADSWORTH,OH,41.02,-81.73
1867,BELLEFONTAINE,OH,40.36,-83.75
1868,ELK CITY,OK,35.4,-99.41
1869,VINITA,OK,36.64,-95.15
1870,BRADFORD,PA,41.96,-78.64
1871,TITUSVILLE,PA,41.62,-79.67
1872,CANONSBURG,PA,40.26,-80.18
1873,MOUNT PLEASANT,PA,40.15,-79.54
1874,EASLEY,SC,34.82,-82.58
1875,GREER,SC,34.93,-82.23
1876,SIMPSONVILLE,SC,34.73,-82.25
1877,ERWIN,TN,36.14,-82.41
1878,LA FOLLETTE,TN,36.37,-84.12
1879,ETOWAH,TN,35.33,-84.52
1880,SPRINGFIELD,TN,36.49,-86.87
1881,SAVANNAH,TN,35.22,-88.23
1882,MC MINNVILLE,TN,35.68,-85.77
1883,CLEBURNE,TX,32.34,-97.4
1884,JACKSONVILLE,TX,31.96,-95.26
1885,WHITNEY,TX,31.94,-97.32
1886,HENDERSON,TX,32.15,-94.79
1887,ARANSAS PASS,TX,27.9,-97.14
1888,RIO GRANDE CITY,TX,26.37,-98.82
1889,GILMER,TX,32.73,-94.94
1890,SANDY,UT,40.56,-111.86
1891,WEST JORDAN,UT,40.58,-111.98
1892,PENNINGTON GAP,VA,36.75,-83.02
1893,CULPEPER,VA,38.47,-78
1894,BIG STONE GAP,VA,36.86,-82.77
1895,FAIRMONT,WV,39.48,-80.14
1896,BLUEFIELD,WV,37.26,-81.21
1897,HURRICANE,WV,38.43,-82.01
1898,WATERTOWN,WI,43.19,-88.72
1899,CEDAR PARK,TX,30.51,-97.83
1900,ROCKWALL,TX,32.92,-96.45
1901,JACKSONVILLE,AR,34.86,-92.12
1902,DELANO,CA,35.78,-119.23
1903,EASTMAN,GA,32.19,-83.17
1904,JASPER,GA,34.46,-84.42
1905,OLNEY,IL,38.73,-88.08
1906,HARRISBURG,IL,37.73,-88.54
1907,EMPORIA,KS,38.41,-96.19
1908,ELKHART,KS,37,-101.89
1909,RUSSELLVILLE,KY,36.83,-86.89
1910,ALBANY,KY,36.69,-85.13
1911,MOUNT VERNON,KY,37.36,-84.34
1912,COLUMBIA,KY,37.09,-85.3
1913,MAMOU,LA,30.63,-92.41
1914,DERIDDER,LA,30.77,-93.24
1915,HOMER,LA,32.79,-93.05
1916,JENA,LA,31.68,-92.12
1917,THREE RIVERS,MI,41.94,-85.63
1918,MAPLE GROVE,MN,45.11,-93.39
1919,IUKA,MS,34.8,-88.19
1920,CAMERON,MO,39.74,-94.23
1921,NORTH LAS VEGAS,NV,36.21,-115.12
1922,SILVER CITY,NM,32.78,-108.26
1923,NORWICH,NY,42.53,-75.52
1924,ONEONTA,NY,42.45,-75.06
1925,SPRINGVILLE,NY,42.5,-78.67
1926,CLIFTON SPRINGS,NY,42.95,-77.13
1927,MARION,NC,35.68,-82
1928,MILLERSBURG,OH,40.55,-81.91
1929,DELAWARE,OH,40.29,-83.08
1930,HUGO,OK,34.01,-95.51
1931,MILWAUKIE,OR,45.44,-122.61
1932,BROOKINGS,SD,44.3,-96.78
1933,JASPER,TN,35.05,-85.62
1934,PARSONS,TN,35.65,-88.12
1935,CELINA,TN,36.54,-85.5
1936,SMITHVILLE,TN,35.95,-85.82
1937,CARTHAGE,TN,36.25,-85.94
1938,SWEETWATER,TX,32.46,-100.4
1939,MOUNT PLEASANT,TX,33.16,-94.97
1940,BRENHAM,TX,30.15,-96.39
1941,HILLSBORO,TX,32,-97.11
1942,HUNTSVILLE,TX,30.71,-95.54
1943,MEXIA,TX,31.67,-96.48
1944,BOWIE,TX,33.55,-97.84
1945,SEYMOUR,TX,33.59,-99.25
1946,CUERO,TX,29.09,-97.28
1947,HAMILTON,TX,31.7,-98.12
1948,ALLEN,TX,33.1,-96.66
1949,GRUNDY,VA,37.27,-82.1
1950,WESTON,WV,39.04,-80.46
1951,SUMMERSVILLE,WV,38.28,-80.84
1952,BARABOO,WI,43.46,-89.74
1953,DADEVILLE,AL,32.83,-85.76
1954,ARCATA,CA,40.85,-124.05
1955,HUNTINGTON PARK,CA,33.97,-118.21
1956,CORONADO,CA,32.65,-117.14
1957,HARBOR CITY,CA,33.79,-118.29
1958,LOUISVILLE,CO,39.96,-105.14
1959,FERNANDINA BEAC,FL,30.65,-81.44
1960,FORT OGLETHORPE,GA,34.92,-85.25
